time, body_id, mass, pos_x, pos_y, pos_z, vel_x, vel_y, vel_z
4.5, 3, 2.4478e-06, -0.827526, 0.189643, 0.0638071, -1.47237, -6.03643, -0.215642
4.5, 4, 3.2272e-07, 0.524862, -1.71485, -0.0498467, 5.35814, 0.30715, 0.00885195
4.5, 5, 0.00095479, -1.70805, 4.89418, 0.024994, -2.62385, -0.833269, 0.0842794
4.5, 6, 0.00028588, -2.11716, 9.05128, 0.0766167, -2.03618, -0.485823, 0.107401
4.5, 7, 4.3662e-05, 17.6123, -7.22221, -0.234381, 0.55025, 1.33142, 0.00371103
4.5, 8, 5.1514e-05, 24.1713, -17.5381, -0.845323, 0.67136, 0.942121, -0.0245736
4.5, 9, 7.396e-09, -6.18623, -27.9839, 11.4716, 1.12792, 0.042834, -0.388537
5, 0, 1, 0.0167562, -0.00323216, -0.000144668, 0.00271507, 0.00147512, -0.000104624
5, 1, 3.0035e-06, 0.984913, 0.142994, -0.000183552, -0.94116, 6.32401, -0.0020766
5, 2, 1.6601e-07, -0.424456, 0.033744, 0.0320887, -1.75576, -8.63206, -0.661182
5, 3, 2.4478e-06, 0.492982, 0.616441, 0.00118752, -5.05631, 4.70324, 0.565211
5, 4, 3.2272e-07, 2.47985, -0.618239, -0.018004, 2.32701, 3.20438, 0.0930735
5, 5, 0.00095479, -2.94488, 4.31219, 0.0657746, -2.296, -1.47859, 0.0779196
5, 6, 0.00028588, -3.12009, 8.75315, 0.129734, -1.97143, -0.705456, 0.104852
5, 7, 4.3662e-05, 17.8748, -6.55148, -0.232358, 0.499368, 1.35118, 0.00438028
5, 8, 5.1514e-05, 24.5025, -17.0638, -0.857452, 0.653306, 0.954966, -0.0239416
5, 9, 7.396e-09, -5.62126, -27.9578, 11.2754, 1.13194, 0.0618078, -0.396252
5.5, 0, 1, 0.0179996, -0.00232964, -0.000193432, 0.00220585, 0.00208531, -9.02541e-05
5.5, 1, 3.0035e-06, -1.04434, 0.0116567, -0.000204301, -0.0703662, -5.88887, 0.00174424
5.5, 2, 1.6601e-07, -0.441143, -0.254841, 0.00718428, 2.42963, -7.10089, -0.797816
5.5, 3, 2.4478e-06, 0.110543, -0.733104, -0.0436442, 7.19194, 1.29846, -0.393795
5.5, 4, 3.2272e-07, 2.9991, 1.0144, 0.0294104, -0.0669646, 3.10396, 0.0901243
5.5, 5, 0.00095479, -3.97932, 3.43479, 0.102056, -1.81999, -2.00914, 0.066423
5.5, 6, 0.00028588, -4.08457, 8.3473, 0.181254, -1.88258, -0.916218, 0.101019
5.5, 7, 4.3662e-05, 18.1116, -5.87135, -0.230002, 0.44778, 1.369, 0.00504305
5.5, 8, 5.1514e-05, 24.8246, -16.5832, -0.869263, 0.635001, 0.967462, -0.0233003
5.5, 9, 7.396e-09, -5.05435, -27.9221, 11.0754, 1.13564, 0.081144, -0.403986
6, 0, 1, 0.018964, -0.0011844, -0.000235441, 0.00163649, 0.00249094, -7.44953e-05
6, 1, 3.0035e-06, 0.983957, -0.166561, -0.000178209, 1.08272, 6.30348, -0.00203673
6, 2, 1.6601e-07, -0.360247, -0.446322, -0.0154163, 4.85389, -4.51824, -0.724484
6, 3, 2.4478e-06, -0.733921, 0.37548, 0.0673047, -2.45656, -5.90569, -0.14611
6, 4, 3.2272e-07, 2.55825, 2.35915, 0.0684412, -1.58386, 2.19753, 0.0637458
6, 5, 0.00095479, -4.74627, 2.32709, 0.131499, -1.23255, -2.39578, 0.0507419
6, 6, 0.00028588, -4.99885, 7.83888, 0.230548, -1.77082, -1.11528, 0.0959562
6, 7, 4.3662e-05, 18.3224, -5.1828, -0.227316, 0.395561, 1.38486, 0.0056984
6, 8, 5.1514e-05, 25.1375, -16.0964, -0.880751, 0.616452, 0.979606, -0.0226501
6, 9, 7.396e-09, -4.48567, -27.8766, 10.8714, 1.13902, 0.100846, -0.411734
6.5, 0, 1, 0.0196202, 0.000134258, -0.000267945, 0.000985725, 0.00276566, -5.6505e-05
6.5, 1, 3.0035e-06, -0.986326, 0.341943, -0.000380065, -1.89737, -5.57446, 0.00168254
6.5, 2, 1.6601e-07, -0.227957, -0.508635, -0.0297958, 6.63841, -2.00595, -0.615547
6.5, 3, 2.4478e-06, 0.628745, 0.587541, -0.00909613, -4.08653, 4.88356, 0.512263
6.5, 4, 3.2272e-07, 1.509, 3.1496, 0.0913454, -2.52933, 0.906303, 0.0261867
6.5, 5, 0.00095479, -5.19998, 1.06617, 0.152286, -0.573826, -2.61976, 0.0319909
6.5, 6, 0.00028588, -5.85183, 7.23441, 0.277018, -1.63771, -1.30004, 0.0897374
6.5, 7, 4.3662e-05, 18.5071, -4.48682, -0.224305, 0.342788, 1.39872, 0.00634539
